,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,42023,1629029,0042300315,"MAY 30, 2024",DAL @ MIN,W,37,14,22,0.636,6,10,0.6,2,3,0.667,0,10,10,5,2,0,4,2,36,22,1
1,42023,1629029,0042300314,"MAY 28, 2024",DAL vs. MIN,L,41,7,21,0.333,4,11,0.364,10,12,0.833,2,13,15,10,1,0,3,4,28,-13,1
2,42023,1629029,0042300313,"MAY 26, 2024",DAL vs. MIN,W,41,10,20,0.5,5,11,0.455,8,10,0.8,1,6,7,5,5,1,3,2,33,6,1
3,42023,1629029,0042300312,"MAY 24, 2024",DAL @ MIN,W,41,10,23,0.435,5,11,0.455,7,7,1.0,1,9,10,13,0,0,4,0,32,6,1
4,42023,1629029,0042300311,"MAY 22, 2024",DAL @ MIN,W,41,12,26,0.462,3,10,0.3,6,7,0.857,0,6,6,8,3,1,4,2,33,-9,1
5,42023,1629029,0042300226,"MAY 18, 2024",DAL vs. OKC,W,45,9,15,0.6,4,6,0.667,7,7,1.0,0,10,10,10,2,0,7,4,29,7,1
6,42023,1629029,0042300225,"MAY 15, 2024",DAL @ OKC,W,41,12,22,0.545,5,11,0.455,2,3,0.667,0,10,10,11,0,1,3,3,31,13,1
7,42023,1629029,0042300224,"MAY 13, 2024",DAL vs. OKC,L,42,6,20,0.3,2,9,0.222,4,6,0.667,1,11,12,10,2,1,7,4,18,1,1
8,42023,1629029,0042300223,"MAY 11, 2024",DAL vs. OKC,W,40,7,17,0.412,1,4,0.25,7,10,0.7,3,12,15,5,2,0,4,1,22,3,1
9,42023,1629029,0042300222,"MAY 09, 2024",DAL @ OKC,W,41,11,21,0.524,5,8,0.625,2,2,1.0,0,10,10,7,3,1,1,0,29,6,1
10,42023,1629029,0042300221,"MAY 07, 2024",DAL @ OKC,L,41,6,19,0.316,1,8,0.125,6,10,0.6,0,6,6,9,2,0,5,0,19,-21,1
11,42023,1629029,0042300176,"MAY 03, 2024",DAL vs. LAC,W,43,9,26,0.346,1,10,0.1,9,11,0.818,1,6,7,13,1,1,5,5,28,9,1
12,42023,1629029,0042300175,"MAY 01, 2024",DAL @ LAC,W,39,14,26,0.538,2,8,0.25,5,5,1.0,1,6,7,10,1,0,2,4,35,28,1
13,42023,1629029,0042300174,"APR 28, 2024",DAL vs. LAC,L,45,10,24,0.417,1,9,0.111,8,10,0.8,4,6,10,10,0,1,3,5,29,8,1
14,42023,1629029,0042300173,"APR 26, 2024",DAL vs. LAC,W,40,7,25,0.28,3,14,0.214,5,7,0.714,1,9,10,9,2,0,5,2,22,11,1
15,42023,1629029,0042300172,"APR 23, 2024",DAL @ LAC,W,46,11,26,0.423,5,14,0.357,5,6,0.833,0,6,6,9,1,1,3,3,32,8,1
16,42023,1629029,0042300171,"APR 21, 2024",DAL @ LAC,L,42,11,26,0.423,4,12,0.333,7,8,0.875,1,12,13,6,1,0,4,1,33,3,1
