,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,42023,1629655,0042300315,"MAY 30, 2024",DAL @ MIN,W,20,3,3,1.0,0,0,0.0,5,6,0.833,2,7,9,0,0,1,2,5,11,26,1
1,42023,1629655,0042300314,"MAY 28, 2024",DAL vs. MIN,L,31,6,6,1.0,0,0,0.0,0,0,0.0,2,6,8,1,1,3,0,3,12,-1,1
2,42023,1629655,0042300313,"MAY 26, 2024",DAL vs. MIN,W,29,2,4,0.5,0,0,0.0,1,1,1.0,0,3,3,1,0,3,3,4,5,10,1
3,42023,1629655,0042300312,"MAY 24, 2024",DAL @ MIN,W,21,8,10,0.8,0,0,0.0,0,2,0.0,1,4,5,0,0,5,0,2,16,-3,1
4,42023,1629655,0042300311,"MAY 22, 2024",DAL @ MIN,W,21,5,9,0.556,0,0,0.0,0,0,0.0,4,5,9,0,0,1,2,2,10,-15,1
5,42023,1629655,0042300226,"MAY 18, 2024",DAL vs. OKC,W,19,4,7,0.571,0,0,0.0,2,4,0.5,4,3,7,1,0,1,1,0,10,-25,1
6,42023,1629655,0042300225,"MAY 15, 2024",DAL @ OKC,W,25,4,4,1.0,0,0,0.0,1,2,0.5,1,6,7,1,0,1,1,3,9,-10,1
7,42023,1629655,0042300224,"MAY 13, 2024",DAL vs. OKC,L,23,4,7,0.571,0,0,0.0,2,4,0.5,1,7,8,0,0,3,0,0,10,-5,1
8,42023,1629655,0042300223,"MAY 11, 2024",DAL vs. OKC,W,20,4,5,0.8,0,0,0.0,0,2,0.0,1,4,5,3,0,1,1,1,8,-8,1
9,42023,1629655,0042300222,"MAY 09, 2024",DAL @ OKC,W,27,4,6,0.667,0,0,0.0,5,9,0.556,2,5,7,2,1,1,3,2,13,-8,1
10,42023,1629655,0042300221,"MAY 07, 2024",DAL @ OKC,L,27,5,12,0.417,0,0,0.0,6,8,0.75,5,6,11,1,0,5,1,3,16,-2,1
11,42023,1629655,0042300176,"MAY 03, 2024",DAL vs. LAC,W,22,5,8,0.625,0,0,0.0,3,3,1.0,4,2,6,0,0,0,1,3,13,17,1
12,42023,1629655,0042300175,"MAY 01, 2024",DAL @ LAC,W,19,2,4,0.5,0,0,0.0,4,6,0.667,1,4,5,0,1,1,0,0,8,8,1
13,42023,1629655,0042300174,"APR 28, 2024",DAL vs. LAC,L,19,1,4,0.25,0,0,0.0,3,4,0.75,2,3,5,2,0,0,2,1,5,-7,1
14,42023,1629655,0042300173,"APR 26, 2024",DAL vs. LAC,W,26,4,5,0.8,0,0,0.0,0,0,0.0,3,1,4,0,2,3,0,1,8,9,1
15,42023,1629655,0042300172,"APR 23, 2024",DAL @ LAC,W,9,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,2,0,-8,1
16,42023,1629655,0042300171,"APR 21, 2024",DAL @ LAC,L,14,1,4,0.25,0,0,0.0,1,2,0.5,0,0,0,0,0,1,1,2,3,-8,1
,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,42023,1629023,0042300315,"MAY 30, 2024",DAL @ MIN,W,36,4,9,0.444,2,5,0.4,2,2,1.0,2,5,7,2,2,0,2,2,12,17,1
1,42023,1629023,0042300314,"MAY 28, 2024",DAL vs. MIN,L,42,3,13,0.231,2,9,0.222,2,2,1.0,2,3,5,2,0,1,1,3,10,-13,1
2,42023,1629023,0042300313,"MAY 26, 2024",DAL vs. MIN,W,40,5,10,0.5,2,6,0.333,4,4,1.0,2,6,8,2,0,0,0,2,16,10,1
3,42023,1629023,0042300312,"MAY 24, 2024",DAL @ MIN,W,38,4,11,0.364,0,4,0.0,2,2,1.0,1,4,5,0,1,2,1,2,10,-5,1
4,42023,1629023,0042300311,"MAY 22, 2024",DAL @ MIN,W,41,4,10,0.4,2,8,0.25,3,3,1.0,0,7,7,0,0,2,3,4,13,12,1
5,42023,1629023,0042300226,"MAY 18, 2024",DAL vs. OKC,W,30,2,6,0.333,2,5,0.4,3,5,0.6,1,4,5,2,0,0,0,5,9,8,1
6,42023,1629023,0042300225,"MAY 15, 2024",DAL @ OKC,W,37,4,9,0.444,2,7,0.286,0,0,0.0,2,8,10,4,1,0,3,3,10,11,1
7,42023,1629023,0042300224,"MAY 13, 2024",DAL vs. OKC,L,41,7,19,0.368,5,11,0.455,2,4,0.5,4,8,12,0,0,1,3,1,21,-1,1
8,42023,1629023,0042300223,"MAY 11, 2024",DAL vs. OKC,W,40,11,23,0.478,5,12,0.417,0,0,0.0,2,4,6,2,0,0,0,4,27,5,1
9,42023,1629023,0042300222,"MAY 09, 2024",DAL @ OKC,W,40,11,18,0.611,7,11,0.636,0,1,0.0,2,9,11,4,2,1,2,6,29,9,1
10,42023,1629023,0042300221,"MAY 07, 2024",DAL @ OKC,L,26,4,7,0.571,2,3,0.667,0,0,0.0,1,5,6,0,1,0,1,4,10,-11,1
11,42023,1629023,0042300176,"MAY 03, 2024",DAL vs. LAC,W,35,4,9,0.444,4,8,0.5,2,4,0.5,2,3,5,2,2,0,1,2,14,-2,1
12,42023,1629023,0042300175,"MAY 01, 2024",DAL @ LAC,W,30,1,7,0.143,0,4,0.0,0,2,0.0,1,4,5,2,0,1,1,2,2,13,1
13,42023,1629023,0042300174,"APR 28, 2024",DAL vs. LAC,L,41,4,9,0.444,1,5,0.2,1,1,1.0,0,4,4,1,1,2,3,3,10,-5,1
14,42023,1629023,0042300173,"APR 26, 2024",DAL vs. LAC,W,34,5,10,0.5,0,4,0.0,0,0,0.0,2,3,5,1,3,1,0,2,10,23,1
15,42023,1629023,0042300172,"APR 23, 2024",DAL @ LAC,W,35,5,10,0.5,3,4,0.75,5,7,0.714,2,4,6,0,1,2,2,2,18,6,1
16,42023,1629023,0042300171,"APR 21, 2024",DAL @ LAC,L,37,4,10,0.4,2,7,0.286,1,2,0.5,1,6,7,0,2,1,0,4,11,-1,1
,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,42023,1629029,0042300315,"MAY 30, 2024",DAL @ MIN,W,37,14,22,0.636,6,10,0.6,2,3,0.667,0,10,10,5,2,0,4,2,36,22,1
1,42023,1629029,0042300314,"MAY 28, 2024",DAL vs. MIN,L,41,7,21,0.333,4,11,0.364,10,12,0.833,2,13,15,10,1,0,3,4,28,-13,1
