,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1610612742,0042300315,"MAY 30, 2024",DAL @ MIN,W,4,1,0.8,240,46,84,0.548,15,34,0.441,17,23,0.739,9,36,45,19,7,5,12,20,124
1,1610612742,0042300314,"MAY 28, 2024",DAL vs. MIN,L,3,1,0.75,240,34,81,0.42,14,40,0.35,18,21,0.857,10,28,38,23,6,4,13,22,100
2,1610612742,0042300313,"MAY 26, 2024",DAL vs. MIN,W,3,0,1.0,240,38,68,0.559,14,28,0.5,26,31,0.839,7,25,32,19,7,5,14,19,116
3,1610612742,0042300312,"MAY 24, 2024",DAL @ MIN,W,2,0,1.0,240,41,84,0.488,12,31,0.387,15,22,0.682,11,33,44,24,7,7,10,17,109
4,1610612742,0042300311,"MAY 22, 2024",DAL @ MIN,W,1,0,1.0,240,43,87,0.494,6,25,0.24,16,17,0.941,11,37,48,21,5,8,13,15,108
5,1610612742,0042300226,"MAY 18, 2024",DAL vs. OKC,W,4,2,0.667,240,42,82,0.512,16,34,0.471,17,24,0.708,14,33,47,25,5,4,17,23,117
6,1610612742,0042300225,"MAY 15, 2024",DAL @ OKC,W,3,2,0.6,240,40,76,0.526,14,35,0.4,10,13,0.769,9,37,46,27,5,5,14,17,104
7,1610612742,0042300224,"MAY 13, 2024",DAL vs. OKC,L,2,2,0.5,240,36,88,0.409,12,35,0.343,12,23,0.522,12,35,47,26,4,13,13,18,96
8,1610612742,0042300223,"MAY 11, 2024",DAL vs. OKC,W,2,1,0.667,240,39,91,0.429,11,33,0.333,16,25,0.64,15,33,48,21,7,2,13,16,105
9,1610612742,0042300222,"MAY 09, 2024",DAL @ OKC,W,1,1,0.5,240,42,90,0.467,18,37,0.486,17,24,0.708,12,32,44,30,8,6,10,21,119
10,1610612742,0042300221,"MAY 07, 2024",DAL @ OKC,L,0,1,0.0,240,33,84,0.393,12,35,0.343,17,25,0.68,11,28,39,19,5,8,15,21,95
11,1610612742,0042300176,"MAY 03, 2024",DAL vs. LAC,W,4,2,0.667,240,40,83,0.482,12,36,0.333,22,33,0.667,18,27,45,26,6,4,9,24,114
12,1610612742,0042300175,"MAY 01, 2024",DAL @ LAC,W,3,2,0.6,240,47,87,0.54,14,39,0.359,15,20,0.75,9,31,40,27,5,6,8,22,123
13,1610612742,0042300174,"APR 28, 2024",DAL vs. LAC,L,2,2,0.5,240,40,81,0.494,11,33,0.333,20,25,0.8,14,28,42,22,5,5,16,21,111
14,1610612742,0042300173,"APR 26, 2024",DAL vs. LAC,W,2,1,0.667,240,39,86,0.453,9,35,0.257,14,19,0.737,11,25,36,21,12,7,8,16,101
15,1610612742,0042300172,"APR 23, 2024",DAL @ LAC,W,1,1,0.5,240,32,76,0.421,14,33,0.424,18,27,0.667,11,39,50,17,8,7,13,23,96
16,1610612742,0042300171,"APR 21, 2024",DAL @ LAC,L,0,1,0.0,240,31,80,0.388,10,33,0.303,25,33,0.758,9,32,41,14,7,9,8,15,97
